Time,Yaw,Pitch,Roll,a_x,a_y,a_z,Pressure,Altitude,launch_detected,kf_velocity,kf_altitude,er_velocity,er_altitude,predicted_apogee,trigger_achieved,fins_retracted,er_apogee_pred
1437.571746,-179.44,-11.81,137.64,-0.20,-0.64,0.70,99.76,428.82,0,-0.00,428.82,nan,nan,428.82,0,0,428.82
1437.591163,-179.45,-11.81,137.64,-0.20,-0.64,0.71,99.78,425.51,0,-0.00,428.81,nan,nan,425.51,0,0,425.51
1437.600846,-179.45,-11.81,137.64,-0.20,-0.64,0.71,99.78,425.51,0,-0.00,428.80,nan,nan,425.51,0,0,425.51
1437.610637,-179.45,-11.81,137.64,-0.20,-0.64,0.70,99.77,427.72,0,-0.00,428.80,nan,nan,427.72,0,0,427.72
1437.620310,-179.45,-11.81,137.64,-0.20,-0.64,0.70,99.78,425.51,0,-0.01,428.79,nan,nan,425.51,0,0,425.51
1437.629954,-179.45,-11.81,137.64,-0.20,-0.64,0.70,99.78,425.51,0,-0.01,428.78,nan,nan,425.51,0,0,425.51
1437.639705,-179.45,-11.81,137.64,-0.20,-0.64,0.70,99.78,425.51,0,-0.02,428.77,nan,nan,425.51,0,0,425.51
1437.649464,-179.45,-11.81,137.64,-0.20,-0.64,0.70,99.77,427.72,0,-0.03,428.77,nan,nan,427.72,0,0,427.72
1437.659537,-179.45,-11.81,137.64,-0.20,-0.64,0.70,99.78,425.51,0,-0.04,428.76,nan,nan,425.51,0,0,425.51
1437.669494,-179.46,-11.81,137.64,-0.19,-0.64,0.70,99.76,428.82,0,-0.04,428.76,nan,nan,428.82,0,0,428.82
1437.679154,-179.46,-11.81,137.64,-0.19,-0.64,0.70,99.76,428.82,0,-0.04,428.76,nan,nan,428.82,0,0,428.82
1437.688810,-179.46,-11.81,137.64,-0.20,-0.64,0.71,99.78,425.51,0,-0.07,428.75,nan,nan,425.51,0,0,425.51
1437.698454,-179.46,-11.82,137.64,-0.20,-0.64,0.71,99.76,428.82,1,-0.07,428.75,nan,nan,428.82,0,0,nan
1437.711034,-179.46,-11.82,137.64,-0.20,-0.64,0.71,99.76,428.82,1,-0.07,428.75,nan,nan,428.82,0,0,nan
1437.717857,-179.46,-11.82,137.64,-0.20,-0.64,0.70,99.79,422.46,1,-0.15,428.72,nan,nan,422.46,0,0,nan
1437.732878,-179.47,-11.81,137.64,-0.20,-0.64,0.70,99.78,425.51,1,-0.20,428.70,nan,nan,425.51,0,0,nan
1437.738399,-179.47,-11.81,137.64,-0.20,-0.64,0.70,99.78,425.51,1,-0.25,428.68,nan,nan,425.51,0,0,nan
1437.748197,-179.47,-11.81,137.64,-0.20,-0.64,0.70,99.78,425.51,1,-0.31,428.66,nan,nan,425.51,0,0,nan
1437.757951,-179.47,-11.81,137.64,-0.20,-0.64,0.70,99.76,428.82,1,-0.31,428.66,nan,nan,428.82,0,0,nan
1437.767780,-179.47,-11.81,137.64,-0.20,-0.64,0.70,99.79,421.08,1,-0.49,428.61,nan,nan,421.08,0,0,nan
1437.777670,-179.47,-11.82,137.64,-0.20,-0.64,0.70,99.78,425.51,1,-0.57,428.58,nan,nan,425.51,0,0,nan
1437.787656,-179.47,-11.82,137.64,-0.20,-0.64,0.70,99.78,424.40,1,-0.68,428.55,nan,nan,424.40,0,0,nan
1437.802668,-179.48,-11.82,137.65,-0.20,-0.64,0.71,99.76,428.82,1,-0.68,428.54,nan,nan,428.82,0,0,nan
1437.811804,-179.48,-11.82,137.65,-0.20,-0.64,0.71,99.76,428.82,1,-0.67,428.54,nan,nan,428.82,0,0,nan
1437.817715,-179.48,-11.82,137.65,-0.20,-0.64,0.71,99.76,428.82,1,-0.66,428.53,nan,nan,428.82,0,0,nan
1437.827630,-179.48,-11.82,137.65,-0.20,-0.64,0.71,99.78,425.51,1,-0.77,428.50,nan,nan,425.51,0,0,nan
1437.837924,-179.48,-11.82,137.65,-0.20,-0.64,0.70,99.78,424.40,1,-0.94,428.45,nan,nan,424.40,0,0,nan
1437.852713,-179.48,-11.82,137.65,-0.20,-0.64,0.70,99.78,425.51,1,-1.07,428.40,nan,nan,425.51,0,0,nan
1437.859316,-179.48,-11.82,137.65,-0.20,-0.64,0.70,99.78,425.51,1,-1.20,428.36,nan,nan,425.51,0,0,nan
