Time,Yaw,Pitch,Roll,a_x,a_y,a_z,Temperature,Pressure,Altitude,kf_velocity,kf_altitude,triggerAltitudeAchieved
5810.03,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,3.13,468.92,0
5810.07,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,4.46,526.82,0
5810.11,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,4.98,541.67,0
5810.14,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.16,545.64,0
5810.18,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.22,546.70,0
5810.22,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.23,546.98,0
5810.25,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.23,547.06,0
5810.29,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.23,547.08,0
5810.34,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.23,547.09,0
5810.38,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.22,547.09,0
5810.43,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.22,547.09,0
5810.46,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.21,547.09,0
5810.51,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.20,547.09,0
5810.55,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.19,547.09,0
5810.59,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.19,547.09,0
5810.62,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.18,547.09,0
5810.65,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.17,547.09,0
5810.68,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.16,547.09,0
5810.73,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.15,547.09,0
5810.76,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.14,547.09,0
5810.79,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.13,547.09,0
5810.82,-1.84,-68.18,-42.57,-0.91,0.25,-0.27,34.01,99.34,547.07,5.12,547.09,0
